id,fecha_postulacion,empresa,cargo,seniority,portal,url,modalidad,pais,idioma_cv,version_cv,stack,salario_publicado,referido,modo_postulacion,estado_actual,fecha_ultimo_evento,notas
2026-08-26-2brains-acid-labs-senior-full-stack-developer-mineria,2026-08-26,2Brains (Acid Labs),Senior Full Stack Developer - Mineria,senior,GetOnBoard,https://www.getonbrd.com/empleos/programacion/senior-full-stack-developer-mineria-react-nextjs-nest-2brains-remote,remoto,Chile,es,mineria/Gonzalo_Oviedo_2Brains_Senior_Full_Stack_Developer.pdf,react;next.js;nestjs,,no,automatizada,postulado,2026-08-26,"Gaps duros: sin Microsoft Entra ID ni Azure Key Vault productivos; respaldo de NestJS/Next.js es el proyecto publico niuro, no 4+ anos facturados en ese stack."
2026-08-26-laboratorio-laboral-spa-full-stack-developer,2026-08-26,Laboratorio Laboral SPA,Full-Stack Developer,senior,GetOnBoard,https://www.getonbrd.com/empleos/programacion/full-stack-developer-laboratorio-laboral-spa-santiago,hibrido,Chile,es,lab-laboral-spa/cv_gonzalo_lablab_full_stack_developer.pdf,php;symfony;javascript;typescript;react;node.js,,no,automatizada,postulado,2026-08-26,"Gap duro: sin Symfony productivo (PHP real 2008-2017 sin ese framework); React/Node.js/TS respaldados por proyecto publico niuro, no por experiencia laboral remunerada."
2026-08-26-lisit-desarrollador-back-end-100-remoto,2026-08-26,Lisit,Desarrollador Back-end (100% remoto),senior,GetOnBoard,https://www.getonbrd.com/jobs/programming/desarrollador-backend-lisit-remote,remoto,Chile,en,lisit/cv_gonzalo_lisit_backend_remote_ats.pdf,postgresql;postgis;kong;keycloak;redis;docker,,no,automatizada,postulado,2026-08-26,"Migracion a PostgreSQL/PostGIS, API de normalizacion de alta concurrencia. Gaps: sin PostGIS productivo (coordenadas del proyecto Mobilidad via Google Maps APIs), sin Kong API Gateway, Keycloak solo experimental, sin Redis productivo, solo Docker (sin Kubernetes/OpenShift). Vacante distinta a la fila 2026-05-25 (misma empresa, cargo hibrido en Santiago ya presentado)."
2026-08-27-fullstack-elixir-backend-engineer,2026-08-27,FullStack,Elixir Backend Engineer,senior,Directo,https://talent.fullstack.com/jobs/fac5e834-bf22-4c26-8f0d-b53562644a07,remoto,Estados Unidos,en,fullstack_elixir_backend/cv_gonzalo_fullstack_elixir_backend.pdf,elixir;phoenix;postgresql;ecto,,no,automatizada,postulado,2026-08-27,"Perfil C (nicho Elixir/BEAM). Gaps: mobile backend real es Flutter (no React Native), Ecto via capa de datos de Ash Framework, sin eCommerce/powersports/multi-tenant, Advanced English excluyente vs nivel Intermediate autodeclarado."
2026-08-28-alegra-cloud-engineer-mid-sr,2026-08-28,Alegra,Cloud Engineer (Mid/Sr),senior,GetOnBoard,https://www.getonbrd.com/jobs/sysadmin-devops-qa/cloud-engineer-mid-sr-alegra-remote,remoto,LATAM,es,Alegra/cv_gonzalo_alegra_cloud_engineer_harvard.pdf (Harvard),cloud;serverless;iac;aws;terraform;docker;github-actions,,no,automatizada,postulado,2026-08-28,"Primer CV reposicionado de desarrollador a Cloud Engineer, estructurado bajo los tres pilares con el nombre exacto del aviso; 37 frases literales espejadas y verificadas sobre ambos PDFs. Gaps declarados de frente: nube productiva es GCP no AWS (en AWS solo Lambda y S3), IaC en Pulumi no Terraform, monitoreo en Cloud Logging/Monitoring no CloudWatch ni Grafana; sin SQS/SNS/ECS/EC2/Aurora/DynamoDB/K8s. Palanca: el aviso admite literalmente 'o sus equivalentes'. Match fuerte: responsabilidad end-to-end de infraestructura en produccion, monolito a microservicios, seguridad cloud, incidentes con causa raiz, y harness propio de agentes de IA (Claude Code con MCPs y skills) que el aviso pide literalmente. Sin salario publicado; cargo Mid/Sr (4-5 anos) para perfil de 15+."
2026-08-28-bctecnologia-ai-engineer-ia-generativa,2026-08-28,BCTecnología,AI Engineer IA Generativa,senior,Computrabajo,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ai-engineer-ia-generativa-en-santiago-las-condes-E7D9F254911F55C361373E686DCF3405,remoto,Chile,es,cv.pdf (perfil Computrabajo),ia-generativa;llm;rag;spring-ai;pgvector;ollama;python,$3.100.000 CLP,no,automatizada,postulado,2026-08-28,Postulacion directa sin killer questions. Reactivada tras aportar proyecto propio RAG en Java/Spring AI (ley-datos-personales) como evidencia; Python declarado como commodity adaptable en aprendizaje activo. Gap: LangChain/LlamaIndex/Hugging Face no productivos (equivalente real usado es Spring AI).
2026-08-28-bctecnologia-arquitecto-cloud-aws,2026-08-28,BCTecnología,Arquitecto/a de Software Cloud AWS,senior,Computrabajo,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitectoa-de-software-cloud-aws-en-santiago-centro-0E9CC82755B5889F61373E686DCF3405,hibrido,Chile,es,cv.pdf (perfil Computrabajo),aws;microservicios;arquitectura-distribuida,$3.000.000 CLP,no,automatizada,postulado,2026-08-28,"Postulacion directa sin killer questions. Gap declarado de frente si preguntan: nube productiva es GCP, AWS solo Lambda/S3."
2026-08-28-bctecnologia-fullstack-senior-java-angular,2026-08-28,BCTecnología,Desarrollador Full Stack Senior Java/Angular - Proyecto (Hibrido),senior,Computrabajo,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stack-senior-javaangular-proyecto-hibrido-en-santiago-las-condes-7CDF6538508B1B5B61373E686DCF3405,hibrido,Chile,es,cv.pdf (perfil Computrabajo),java;angular;seguridad-datos;gcp;aws;git;agile,$2.800.000 CLP,no,automatizada,postulado,2026-08-28,"5 killer questions respondidas (Full Stack Java/Angular, BD/integraciones, seguridad de datos personales, GCP/AWS/Git/Agile, disponibilidad por proyecto + pretensiones $2.500.000). CV y carta adjuntados."
2026-08-28-fieldbeat-desarrollador-backend-java,2026-08-28,FieldBeat,Desarrollador Backend Java,senior,GetOnBoard,https://www.getonbrd.com/jobs/programming/desarrollador-backend-java-fieldbeat-santiago,hibrido,Chile,es,cv_gonzalo_fieldbeat_backend_java.md,java;spring boot;undertow;azure;nosql;docker,$1.400.000 CLP,no,automatizada,postulado,2026-08-28,"Residencia obligatoria en RM (Gonzalo vive en Limache); renta bajo el piso habitual de perfil A, aceptada explicitamente por el usuario para esta postulacion puntual."
2026-08-28-ingeniero-tecnologico-en-ia,2026-08-28,Importante empresa del sector,Ingeniero Tecnológico en IA,senior,Computrabajo,https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-tecnologico-en-ia-en-santiago-centro-DC0904C492B44A8A61373E686DCF3405,hibrido,Chile,es,cv.pdf (perfil Computrabajo),ia-generativa;llm;rag;azure-openai;java;python;docker;kubernetes,a convenir,no,automatizada,postulado,2026-08-28,Postulacion directa sin killer questions. Unico match viable de la ronda IA/ML (13 descartadas por exigir Python/LangChain/vector-DB excluyentes o ser 100% presenciales). Gap declarado de frente: nube productiva GCP no Azure.
