id_postulacion,fecha,etapa,nota
2026-08-26-2brains-acid-labs-senior-full-stack-developer-mineria,2026-08-26,postulado,postulacion creada
2026-08-26-laboratorio-laboral-spa-full-stack-developer,2026-08-26,postulado,postulacion creada
2026-08-26-lisit-desarrollador-back-end-100-remoto,2026-08-26,postulado,postulacion creada
2026-08-27-fullstack-elixir-backend-engineer,2026-08-27,postulado,postulacion creada
2026-08-28-alegra-cloud-engineer-mid-sr,2026-08-28,postulado,postulacion creada
2026-08-28-bctecnologia-ai-engineer-ia-generativa,2026-08-28,postulado,postulacion creada
2026-08-28-bctecnologia-arquitecto-cloud-aws,2026-08-28,postulado,postulacion creada
2026-08-28-bctecnologia-fullstack-senior-java-angular,2026-08-28,postulado,postulacion creada
2026-08-28-fieldbeat-desarrollador-backend-java,2026-08-28,postulado,postulacion creada
2026-08-28-ingeniero-tecnologico-en-ia,2026-08-28,postulado,postulacion creada
2026-08-28-kibernum-desarrollador-backend-java-remoto,2026-08-28,postulado,postulacion creada
2026-08-28-manpower-ai-engineer-backend-ai-engineer,2026-08-28,postulado,postulacion creada
2026-08-28-manpower-arquitecto-inteligencia-artificial,2026-08-28,postulado,postulacion creada
2026-08-28-prontopaga-full-stack-engineer-semi-senior,2026-08-28,postulado,Postulacion en ingles via GetOnBoard (CV ATS en ingles). AWS serverless y DynamoDB declarados como gap.
2026-08-28-qulane-desarrollador-net-web-forms-sql-server-part-time,2026-08-28,postulado,postulacion creada
2026-08-28-ticmoai-arquitecto-software-hibrido,2026-08-28,postulado,postulacion creada
2026-08-28-ticmoai-lider-tecnico-arquitectura-procesos,2026-08-28,postulado,postulacion creada
2026-08-29-asociacion-chilena-de-seguridad-achs-tech-lead,2026-08-29,postulado,postulacion creada
2026-08-29-avla-seguros-de-credito-y-garantia-ingeniero-de-transformacion-digital-e-inteligencia-artificial,2026-08-29,postulado,postulacion creada
2026-08-29-caja-de-compensacion-los-andes-ingeniero-a-de-software,2026-08-29,postulado,postulacion creada
2026-08-29-coopeuch-arquitecto-a-de-soluciones-ia,2026-08-29,postulado,postulacion creada
2026-08-29-coopeuch-desarrollador-de-agentes-ia,2026-08-29,postulado,postulacion creada
2026-08-29-coopeuch-especialista-de-operaciones-ia,2026-08-29,postulado,postulacion creada
2026-08-29-coopeuch-ingeniero-de-ia,2026-08-29,postulado,postulacion creada
2026-08-29-deloitte-ai-engineer,2026-08-29,postulado,postulacion creada
2026-08-29-empresa-confidencial-automotriz-desarrollador-full-stack,2026-08-29,postulado,postulacion creada
2026-08-29-empresa-confidencial-java-analista-de-integraciones-y-automatizacion,2026-08-29,postulado,postulacion creada
2026-08-29-empresa-confidencial-trabajando-cl-ingeniero-a-de-soluciones-de-ia,2026-08-29,postulado,postulacion creada
2026-08-29-fundacion-arturo-lopez-perez-ingeniero-automatizacion-e-ia,2026-08-29,postulado,postulacion creada
2026-08-29-help-seguros-desarrollador-fullstack,2026-08-29,postulado,postulacion creada
2026-08-29-mando-medio-product-builder-full-stack-ia,2026-08-29,postulado,postulacion creada
2026-08-29-perceptual-consultores-ingeniero-desarrollador-fullstack-react-typescript,2026-08-29,postulado,postulacion creada
2026-08-29-ryc-consultores-desarrollador-full-stack,2026-08-29,postulado,postulacion creada
2026-08-29-wom-s-a-arquitecto-a-empresarial-de-soluciones-e-ia,2026-08-29,postulado,postulacion creada
2026-09-10-abenis-ingeniero-de-automatizacion-de-procesos-con-ia,2026-09-10,postulado,postulacion creada
